WISE_ID,Shelf_QR_ID,QR Code Printed
WISE-001,rwlenjke7h,FALSE
WISE-002,placeholder,FALSE
WISE-003,placeholder,FALSE
WISE-004,placeholder,FALSE
WISE-005,placeholder,FALSE
WISE-006,placeholder,FALSE
WISE-007,placeholder,FALSE
WISE-008,placeholder,FALSE
WISE-009,placeholder,FALSE
WISE-010,placeholder,FALSE
WISE-011,placeholder,FALSE
WISE-012,placeholder,FALSE
WISE-013,placeholder,FALSE
WISE-014,placeholder,FALSE
WISE-015,placeholder,FALSE
WISE-016,placeholder,FALSE
WISE-017,placeholder,FALSE
WISE-018,placeholder,FALSE
WISE-019,placeholder,FALSE
WISE-020,placeholder,FALSE
WISE-021,placeholder,FALSE
WISE-022,placeholder,FALSE
WISE-023,placeholder,FALSE
WISE-024,placeholder,FALSE
WISE-025,placeholder,FALSE
WISE-026,placeholder,FALSE
WISE-027,placeholder,FALSE
WISE-028,placeholder,FALSE
WISE-029,placeholder,FALSE
WISE-030,placeholder,FALSE
WISE-031,placeholder,FALSE
WISE-032,placeholder,FALSE
WISE-033,placeholder,FALSE
WISE-034,placeholder,FALSE
WISE-035,placeholder,FALSE
WISE-036,placeholder,FALSE
WISE-037,placeholder,FALSE
WISE-038,placeholder,FALSE
WISE-039,placeholder,FALSE
WISE-040,placeholder,FALSE
WISE-041,placeholder,FALSE
WISE-042,placeholder,FALSE
WISE-043,placeholder,FALSE
WISE-044,placeholder,FALSE
WISE-045,placeholder,FALSE
WISE-046,placeholder,FALSE
WISE-047,placeholder,FALSE
WISE-048,placeholder,FALSE
WISE-049,placeholder,FALSE
WISE-050,placeholder,FALSE